COMMENT,Note: An 'x' indicates that a particular quality criteria is given. A 'v' indicates that the paper does not qualify for the criteria.,,,,,,,,,,,,,,
Title,Authors,Year,Clear research topic,Clear end product,Placed in context,Quantifiable experiments,Qualitative testing,Experimental outcome indicated,Theoretical justification,SOTA comparison,Outperforms SOTA,Definitively novel,Published in respectable channel,Definitively using machine learning,Applied to real world problem
Detecting large-scale system problems by mining console logs,"Xu, W.a and Huang, L.b and Fox, A.a and Patterson, D.a and Jordan, M.I.c",2010,x,v,v,v,v,v,v,v,v,x,x,x,v
A Unifying Framework for Detecting Outliers and Change Points from Non-Stationary Time Series Data,"Yamanishi, Kenji and Takeuchi, Jun-ichi",2002,x,x,x,x,v,v,v,v,v,x,x,x,x
A novel scalable algorithm for supervised subspace learning,"Yan, J.a and Liu, N.a and Zhang, B.a and Yang, Q.b and Yan, S.c and Chen, Z.a",2006,x,x,x,x,v,x,x,v,v,x,v,x,v
Online incremental regression for electricity price prediction,"Yan, J. and Tian, C. and Wang, Y. and Huang, J.",2012,x,x,x,x,v,x,v,v,v,x,v,x,x
Stream mining over fluctuating network traffic at variable data rates,"{Yang Hang} and Fong, S.",2010,x,x,x,x,v,x,v,v,v,x,v,x,x
CLUES: A unified framework supporting interactive exploration of density-based clusters in streams,"Yang, D. and Guo, Z. and Rundensteiner, E.A. and Ward, M.O.",2011,x,x,x,x,x,x,v,v,v,x,v,x,x
Interactive visual exploration of neighbor-based patterns in data streams,"Yang, D. and Guo, Z. and Xie, Z. and Rundensteiner, E.A. and Ward, M.O.",2010,x,x,v,v,x,v,v,v,v,x,v,x,v
Mining neighbor-based patterns in data streams,Di Yang and Elke A. Rundensteiner and Matthew O. Ward,2013,x,x,x,x,v,x,x,x,x,x,v,x,v
A shared execution strategy for multiple pattern mining requests over streaming data,"Yang, D. and Rundensteiner, E.A. and Ward, M.O.",2009,x,x,x,x,v,x,x,x,x,x,v,x,v
Mining and linking patterns across live data streams and stream archives,"Yang, D. and Zhao, K. and Hasan, M. and Lu, H. and Rundensteiner, E. and Ward, M.",2013,x,v,v,v,v,v,x,v,v,x,v,x,v
Incrementally Optimized Decision Tree for Mining Imperfect Data Streams,"Yang, H. and Fong, S.",2012,x,x,x,x,v,x,x,x,x,x,v,x,v
A very fast decision tree algorithm for real-time data mining of imperfect data streams in a distributed wireless sensor network,"Yang, H.a and Fong, S.a and Sun, G.b and Wong, R.c",2012,x,x,x,x,v,x,v,v,v,x,v,x,x
A novel real-time framework for extracting patterns from trajectory data streams,"Yang, Hanqing and Gruenwald, Le and Boulanger, Mathilda",2013,x,x,x,x,v,v,v,x,x,x,v,x,x
Mining short association rules with one database scan,"Yang, L. and Sanver, M.",2004,x,x,v,x,v,v,v,v,v,v,v,x,v
Online Recovery of Missing Values in Vital Signs Data Streams Using Low-Rank Matrix Completion,"Yang, Shiming and Kalpakis, Konstantinos and Mackenzie, Colin F. and Stansbury, Lynn G. and Stein, Deborah M. and Scalea, Thomas M. and Hu, Peter F.",2012,x,x,x,x,v,x,v,x,x,x,x,x,x
Incremental mining of across-streams sequential patterns in multiple data streams,"Yang, S.-Y.a and Chao, C.-M.b and Chen, P.-Z.c and Sun, C.-H.c",2011,x,x,x,x,v,x,v,v,v,x,v,x,v
Incremental mining of closed sequential patterns in multiple data streams,"Yang, S.-Y.a and Chao, C.-M.b and Chen, P.-Z.c and Sun, C.-H.c",2011,x,x,x,v,v,v,x,v,v,x,v,x,v
Visage: A face interpretation engine for smartphone applications,"Yang, X.a and You, C.-W.a and Lu, H.b and Lin, M.a and Lane, N.D.c and Campbell, A.T.a",2013,x,x,x,v,x,v,x,v,v,x,v,x,x
Online correlation analysis for multiple dimensions data streams,"Yang, X.a b and Dong, Y.a and Xu, H.a and Liu, X.a and Qian, J.a and Wang, Y.a",2006,x,x,v,x,v,x,x,v,v,x,v,x,v
Online belief propagation algorithm for probabilistic latent semantic analysis,"Ye, Y.a b and Gong, S.a and Liu, C.a and Zeng, J.a and Jia, N.b and Zhang, Y.b",2013,x,x,v,x,v,x,v,v,v,x,v,x,x
Model averaging via penalized regression for tracking concept drift,"Yeon, K.a and Song, M.S.a and Kim, Y.a and Choi, H.b and Park, C.c",2010,x,x,x,x,v,x,v,x,x,x,v,x,v
Approximate data mining for sliding window based data streams,"Yin, K.-C. and Hsieh, Y.-L. and Yang, D.-L.",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Online power quality disturbances identification based on data stream technologies,{Yinghui Kong} and {Jinsha Yuan} and {Linlin Che} and {Jing An},2007,x,x,v,x,v,v,v,v,v,v,v,x,x
Semi-supervised time series modeling for real-time flux domain detection on passive dns traffic,"Yu, B. and Smith, L. and Threefoot, M.",2014,x,x,v,x,v,v,x,v,v,x,v,x,x
A new evolving data streams system with data fusion,"Yu, H.a and Wang, Z.b and Liu, X.c",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Trajectory stream mining framework facing to real time query processing,"Yu, Y. and Wang, Q. and Wang, X. and Wang, H. and He, J.",2012,x,x,v,x,v,x,v,v,v,v,v,x,v
Mining maximal frequent patterns by considering weight conditions over data streams,"Yun, U.a and Lee, G.a and Ryu, K.H.b",2014,x,x,x,x,v,x,x,x,x,x,v,x,v
ShareLikesCrowd: Mobile analytics for participatory sensing and crowd-sourcing applications,"Zaslavsky, A.a and Jayaraman, P.P.a and Krishnaswamy, S.b",2013,x,x,x,x,v,x,x,v,v,v,x,x,x
An algorithm for data stream speed anomaly detection based on RCSW,"Zhan, Y.a and Wu, C.-M.b and Wang, B.-J.a",2012,x,x,v,x,v,v,v,v,v,x,v,x,v
Mining frequent closed itemsets over data stream based on bitvector and digraph,"Zhang, G.a and Lei, J.b and Wu, X.c",2010,x,x,x,x,v,x,v,v,v,x,v,x,v
Online bursty events detection based on emoticons,"Zhang, L.-M.a and Jia, Y.a and Zhou, B.a and Zhao, J.-H.a and Hong, F.b",2013,x,x,v,x,v,x,v,v,v,v,v,x,x
Towards health data stream analytics,"Zhang, Q.a and Pang, C.a and Mcbride, S.a and Hansen, D.a and Cheung, C.b and Steyn, M.b",2010,x,x,v,x,v,x,v,v,v,v,v,x,x
Adaptive correlation analysis in stream time series with sliding windows,Tiancheng Zhang and Dejun Yue and Yu Gu and Yi Wang and Ge Yu,2009,x,x,x,x,v,x,v,v,v,x,v,x,v
Correlation analysis based on hierarchical Boolean representation over time series data streams,"Zhang, T. and Yue, D. and Yu, G. and Gu, Y.",2007,x,x,v,x,v,x,v,v,v,v,v,x,v
Toward Autonomic Grids: Analyzing the Job Flow with Affinity Streaming,"Zhang, Xiangliang and Germain-renaud, Cecile and Furtlehner, Cyril and Sebag, Mich\`{e}le and Perez, Julien",2009,x,x,x,v,v,v,x,v,v,v,v,x,v
Multi-scale real-time grid monitoring with job stream mining,"Zhang, Xiangliang and Sebag, Mich\`{e}le and Germain-renaud, C\'{e}cile",,x,x,v,v,v,v,v,v,v,v,v,x,v
Real-time clinical decision support system with data stream mining,"Zhang, Y.a and Fong, S.a and Fiaidhi, J.b and Mohammed, S.b",2012,x,v,v,v,v,v,v,v,v,v,v,x,v
A fast online learning algorithm for distributed mining of BigData,"Zhang, Yu and Sow, Daby and Turaga, Deepak and van der Schaar, Mihaela",2014,x,x,x,v,v,v,v,x,x,x,v,x,v
A fast subspace partition clustering algorithm for high dimensional data streams,"Zhang, Z. and Wang, H.",2009,x,x,v,x,v,x,v,v,v,x,v,x,v
A Concept Drifting Based Clustering Framework for Data Streams,"Zhao, Gansen and Li, Ziliu and Liu, Fujiao and Tang, Yong",2013,x,x,v,x,v,x,v,v,v,x,v,x,v
Online transfer learning,"Zhao, P.a and Hoi, S.C.H.b and Wang, J.c and Li, B.d",2014,x,x,v,x,v,v,x,v,v,x,x,x,v
Outlier detection in cold-chain logistics temperature monitoring,"Zhao, W.a and Dai, W.b and Zhou, S.a",2013,x,x,v,v,v,v,x,v,v,x,v,x,x
A unifying method for outlier and change detection from data streams based on local polynomial fitting,"Zhi, L.a and Hong, M.a and Yongbing, M.b",2007,x,x,x,v,v,x,v,v,v,x,v,x,v
A kind of data stream clustering algorithm based on grid-density,"Zhishui, Z.",2011,x,x,x,v,v,v,v,v,v,x,v,x,v
Efficient streaming text clustering,"Zhong, S.",2005,x,x,x,x,v,x,v,v,v,x,x,x,v
Tracking clusters in evolving data streams over sliding windows,"Zhou, A.a and Cao, F.a b and Qian, W.a and Jin, C.a c",2008,x,x,x,x,v,v,x,?,?,x,v,x,v
Online Incremental Feature Learning with Denoising Autoencoders,"Zhou, Guanyu and Sohn, Kihyuk and Lee, Honglak",,x,x,v,x,v,x,v,v,v,x,v,x,v
A More Accurate Space Saving Algorithm for Finding the Frequent Items,"Zhou, Jun and Chen, Ming and Xiong, Huan",2010,x,x,x,v,v,x,v,v,v,x,v,x,v
Efficient online subsequence searching in data streams under dynamic time warping distance,"Zhou, M.a and Wong, M.H.b",2008,x,x,x,x,v,x,x,x,x,x,v,x,v
Parallel computing method of canonical correlation analysis for high-dimensional data streams in irregular streams,"Zhou, Y.a and Lu, X.-W.a and Cheng, C.-T.b",2012,x,x,v,x,v,v,x,v,v,v,v,x,v
An algorithm based on horizontal bit vectors for mining frequent patterns in data streams,"Zhou, Y.a and Wen, D.b and Li, Y.a and Li, H.c",2012,x,x,x,x,v,x,x,v,v,x,v,x,v
A study on the application of data stream clustering mining through a sliding and damped window to intrusion detection,"Zhu, C.-S. and Dun, X. and Zhu, L.",2011,x,x,v,v,v,x,x,v,v,x,v,x,x
Evolving soft subspace clustering,Lin Zhu and Longbing Cao and Jie Yang and Jingsheng Lei,2014,x,x,x,x,v,v,v,x,x,x,v,x,v
Research into the network security model blended of data stream mining and intrusion detection system,"Zhu, L. and Zhu, C.-S.",2012,v,x,v,x,v,v,v,v,v,v,v,x,x
Granular computing based intrusion detection model upon network monitor data streams,"Zhu, X. and Huang, Z. and Zhang, J. and Yang, S.",2007,x,x,v,x,v,v,v,v,v,x,v,x,x
Mining top-k high utility patterns over data streams,Morteza Zihayat and Aijun An,2014,x,x,x,x,v,x,x,x,x,x,v,x,v
Adaptive Preprocessing for Streaming Data,"Zliobaite, Indre and Gabrys, Bogdan",2014,x,x,x,v,x,v,x,v,v,x,x,x,x
Fast similarity matching on data stream with noise,"Zou, P. and Su, L. and Jia, Y. and Han, W. and Yang, S.",2008,x,x,x,x,v,x,v,v,v,x,v,x,v
